participant,handwriting_expert,us,condition,age,forensic_scientist,forensic_specialty,handwriting_reports,confidence,familiarity,feature,est,true,band
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCO.2.1,20,49.533,Band 50
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCJ.9.8,0.5,51.663,Band 50
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCN.4.3,30,76.011,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCD.9.8,10,76.285,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCA.2.1,5,79.627,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCG.4.3,20,71.324,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCJ.3.2,10,71.902,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCI.13.2,10,78.272,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCR.2.1,10,76.014,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCF.2.1,30,79.814,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCM.3.2,40,77.892,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.18.10,30,74.272,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCK.4.3,10,74.789,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.28.18,50,76.335,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCE.2.1,40,97.835,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCV.2.1,80,98.698,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PLCT.2.1,50,98.943,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCA.2.1,40,97.686,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCT.2.1,5,98.293,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,PUCK.2.1,40,98.657,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCi.4.3,60,97.38,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCU.3.2,50,97.468,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CLCE.2.1,60,99.088,Band 99
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCH.10.5,1,80.218,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCW.8.7,50,85.151,Band 75
2,Novice,Non-US,Non-US Novice,48,Yes,DNA,0,10,5,CUCC.3.2,70,94.484,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCW.6.5,100,1.571,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCY.6.A,0,1.971,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCZ.3.2,0,2.1,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCX.4.b,0,1.096,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCC.8.7,100,1.104,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCF.8.7,0,1.132,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCO.6.c,50,1.376,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCG.6.a,100,1.386,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCi.8.d,0,1.595,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCA.1.1,25,1.051,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCA.6.5,0,1.053,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCZ.5.a,0,1.053,Band 01
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCG.7.b,100,23.57,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCG.5.4,100,26.36,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCA.3.2,0,26.686,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCY.3.2,0,24.6,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCC.2.1,5,24.91,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCG.2.1,50,26.72,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCO.4.a,0,25.459,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCJ.3.2,100,26.127,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCJ.6.5,0,26.127,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCT.15.14,100,24.805,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCB.2.1,0,25.995,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCG.1.2,100,26.123,Band 25
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCM.6.5,0,48.005,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCD.7.6,100,49.275,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCY.3.2,100,51.38,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCN.6.5,25,49.814,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCB.6.5,100,50.613,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCQ.2.1,0,50.677,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCW.9.8,0,50.46,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCI.5.8,100,50.797,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCF.6.5,100,50.928,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.2.1,5,49.272,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCO.2.1,0,49.533,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCJ.9.8,50,51.663,Band 50
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCN.4.3,0,76.011,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCD.9.8,100,76.285,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCA.2.1,0,79.627,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCG.4.3,100,71.324,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCJ.3.2,100,71.902,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCI.13.2,100,78.272,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCR.2.1,0,76.014,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCF.2.1,100,79.814,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCM.3.2,100,77.892,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.18.10,0,74.272,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCK.4.3,25,74.789,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.28.18,25,76.335,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCE.2.1,100,97.835,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCV.2.1,100,98.698,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PLCT.2.1,0,98.943,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCA.2.1,100,97.686,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCT.2.1,100,98.293,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,PUCK.2.1,100,98.657,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCi.4.3,100,97.38,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCU.3.2,100,97.468,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CLCE.2.1,100,99.088,Band 99
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCH.10.5,100,80.218,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCW.8.7,100,85.151,Band 75
3,Novice,Non-US,Non-US Novice,45,No,NA,0,25,0,CUCC.3.2,50,94.484,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCW.6.5,5,1.571,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCY.6.A,40,1.971,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCZ.3.2,40,2.1,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCX.4.b,20,1.096,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCC.8.7,30,1.104,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCF.8.7,30,1.132,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCO.6.c,10,1.376,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCG.6.a,30,1.386,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCi.8.d,90,1.595,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCA.1.1,5,1.051,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCA.6.5,10,1.053,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCZ.5.a,70,1.053,Band 01
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCG.7.b,95,23.57,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCG.5.4,95,26.36,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCA.3.2,90,26.686,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCY.3.2,40,24.6,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCC.2.1,5,24.91,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCG.2.1,80,26.72,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCO.4.a,95,25.459,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCJ.3.2,70,26.127,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCJ.6.5,30,26.127,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCT.15.14,80,24.805,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCB.2.1,15,25.995,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCG.1.2,95,26.123,Band 25
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCM.6.5,30,48.005,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCD.7.6,30,49.275,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCY.3.2,95,51.38,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCN.6.5,30,49.814,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCB.6.5,100,50.613,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCQ.2.1,30,50.677,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCW.9.8,90,50.46,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCI.5.8,50,50.797,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCF.6.5,80,50.928,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.2.1,40,49.272,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCO.2.1,20,49.533,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCJ.9.8,80,51.663,Band 50
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCN.4.3,20,76.011,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCD.9.8,70,76.285,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCA.2.1,90,79.627,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCG.4.3,80,71.324,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCJ.3.2,30,71.902,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCI.13.2,50,78.272,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCR.2.1,70,76.014,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCF.2.1,90,79.814,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCM.3.2,70,77.892,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.18.10,80,74.272,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCK.4.3,50,74.789,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.28.18,95,76.335,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCE.2.1,95,97.835,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCV.2.1,50,98.698,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PLCT.2.1,95,98.943,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCA.2.1,80,97.686,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCT.2.1,50,98.293,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,PUCK.2.1,50,98.657,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCi.4.3,80,97.38,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCU.3.2,80,97.468,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CLCE.2.1,95,99.088,Band 99
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCH.10.5,80,80.218,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCW.8.7,85,85.151,Band 75
4,Novice,Non-US,Non-US Novice,24,No,NA,0,30,0,CUCC.3.2,80,94.484,Band 99
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCW.6.5,24,1.571,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCY.6.A,36,1.971,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PLCZ.3.2,12,2.1,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCX.4.b,13,1.096,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCC.8.7,49,1.104,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,PUCF.8.7,29,1.132,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCO.6.c,32,1.376,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCG.6.a,43,1.386,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CLCi.8.d,5,1.595,Band 01
5,Novice,Non-US,Non-US Novice,32,No,NA,0,0,0,CUCA.1.1,9,1.051,Band 01
